portuguese,english
poderia,could
ok,OK
nosso,our
oi,Hi
hora,hour
outra,other
dela,her
certeza,assurance
sair,go out
olá,Hello
problema,problem
carro,car
daqui,hence
mulher,women
toda,all
merda,Shit
algum,any
volta,return
espere,wait
falando,talking
sabia,you knew
amigo,friend
aconteceu,it happened
menos,any less
olhe,look
tipo,type
faça,Knife
venha,come
diz,it says
três,three
ótimo,excellent
obrigada,Thanks
vezes,times
vi,saw
primeiro,first
atrás,behind
voltar,return
sério,for real
entre,in between
tenha,you have
deveria,should
realmente,really
ah,ah
seria,he would be
às,at
embora,although
olha,look
vê,see
parte,part
viu,it saw
vem,comes
todas,all
aquele,that one
fique,stay
los,Los
deixar,to leave
ajudar,to help
amor,love
dentro,inside
dê,in
pensei,I thought
cabeça,head
família,family
duas,two
gente,people
frente,front
pare,Stop
querida,Honey
feliz,happy
dias,days
nas,in the
indo,going
lado,side
fui,I went
podem,they can
gosto,like
homens,men
mal,bad
matar,kill
nenhum,none
dá,from the
fiz,I did
precisamos,we need
pegar,to take
somos,are
cidade,City
tarde,afternoon
fosse,were
alguns,some
legal,cool
amigos,friends
têm,have
garota,girl
meio,quite
deles,their
logo,soon
rápido,fast
amanhã,tomorrow
momento,time
gostaria,would
medo,fear
caso,case
num,on one
foram,were
importa,it matters
tanto,so much
horas,hours
porta,door
tentando,trying
irmão,brother
outros,others
entrar,log in
desde,since
ali,there
minhas,my
amo,master
jeito,way
minutos,minute
cada,each
morto,dead
vejo,watch
enquanto,While
quase,almost
errado,wrong
pessoa,people
algumas,some
ajuda,help
demais,too much
nova,new
história,story
perto,near
fica,stay
aquela,that one
tá,OK
dizendo,saying
semana,week
garoto,boy
deu,He gave
encontrar,meet
papai,dad
pessoal,folks
contra,against
sorte,luck
cima,top
droga,damn it
primeira,first
nisso,in that
esses,Those
quiser,he wants
morte,death
essas,these
idéia,idea
achei,I thought
morrer,die
espero,I expect
caminho,path
polícia,police
sente,feel
arma,weapon
manhã,morning
aos,to the
acabou,ended
quarto,bedroom
crianças,children
ano,year
levar,take along
pronto,ready
forma,form
acredito,I believe
espera,wait
for,either
chegar,to arrive
juntos,together
gosta,he likes
cuidado,care
uns,some
tive,had
pensar,think
numa,in
razão,reason
veja,Look
feito,done
devia,should
mãos,hands
teve,he had
consigo,with you
elas,they
sido,has been
conta,account
contar,tell
chefe,boss
olhos,eyes
filha,daughter
ia,ia
difícil,difficult
idiota,moron
significa,means
entendo,I understand
dr,DR
deixa,he leaves
vindo,coming
ouvir,hear
passar,pass
acontecendo,happening
sangue,blood
vir,come over
fim,The end
mamãe,mommy
devo,owe
esposa,wife
lembra,remember
mesma,same
veio,he came
última,last
problemas,problems
jogo,match
guerra,war
água,Water
parar,stop
nossos,ours
teria,it would have
importante,important
mão,hand
querem,want
sra,Mrs
pensando,thinking
boca,mouth
coração,heart
tal,such
única,only
escola,school
exatamente,exactly
corpo,body
conhece,do you know
podia,could
poder,power
tentar,try
licença,license
nenhuma,none
causa,cause
havia,there was
fala,speech
ficou,it was left
ouvi,I heard
digo,I say
faço,I do
longe,far away
terra,Earth
começar,to start
saia,get out
jack,jack
ontem,yesterday
tivesse,have
porra,fuck
segundo,second
pois,then
velho,old
maior,bigger
capitão,captain
cinco,five
matou,killed
tirar,to throw
querido,Dear
diabos,hell
senhora,Mrs
sendo,being
chance,chance
morreu,died
marido,husband
usar,to use
número,number
meses,months
pegue,take it
esperar,wait
conheço,I know
preocupe,worry
comer,eat
esperando,waiting
cá,here
festa,party
estranho,strange
mulheres,women
trabalhar,work
prazer,pleasure
houve,there was
aquilo,that one
telefone,telephone
sabemos,We know
consegue,it achieves
muita,lots of
deixou,he left
irá,will
pergunta,question
filhos,sons
john,John
segurança,safety
tomar,to take
fácil,easy
conseguir,get
esteja,is
dormir,to sleep
bastante,quite
desse,of that
quatro,four
dessa,of that
possa,be likely to
mil,thousand
pais,country
